"// SOMLIT somlit.fr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"// hydro - 2020-11-10T14:22:19+00:00 - 2997f90f2138f1cc";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SITE;DATE;HEURE;COEF_MAREE;MAREE;PROFONDEUR_TEXT;PROFONDEUR_NUM;nomSite*;gpsLat*;gpsLong*;T;qT;S;qS;O;qO;PH;qPH;NH4;qNH4;NO3;qNO3;NO2;qNO2;PO4;qPO4;SIOH4;qSIOH4;COP;qCOP;NOP;qNOP;MES;qMES;CHLA;qCHLA
;yyyy-mm-dd;hh:mm:ss;;;;m;;(wgs84);(wgs84);°C;;PSU;;ml/l;;;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µg/l;;µg/l;;mg/l;;µg/l;
4;1997-01-03;00:00:00;41.00;PM;S;1.00;Estacade;48.7322;-3.98278;8.000;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-01-17;00:00:00;52.00;PM;S;1.00;Estacade;48.7322;-3.98278;9.100;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-02-03;00:00:00;48.00;PM;S;1.00;Estacade;48.7322;-3.98278;8.600;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-02-17;00:00:00;44.00;PM;S;1.00;Estacade;48.7322;-3.98278;9.400;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-03-04;00:00:00;46.00;PM;S;1.00;Estacade;48.7322;-3.98278;9.700;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-03-18;00:00:00;38.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.300;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-04-02;00:00:00;48.00;PM;S;1.00;Estacade;48.7322;-3.98278;11.200;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-06-13;00:00:00;43.00;PM;S;1.00;Estacade;48.7322;-3.98278;14.700;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-06-30;00:00:00;62.00;PM;S;1.00;Estacade;48.7322;-3.98278;15.400;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-07-15;00:00:00;44.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.600;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-07-29;00:00:00;52.00;PM;S;1.00;Estacade;48.7322;-3.98278;17.200;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-08-13;00:00:00;41.00;PM;S;1.00;Estacade;48.7322;-3.98278;17.500;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-08-27;00:00:00;44.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.700;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-09-11;00:00:00;40.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.400;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-09-25;00:00:00;38.00;PM;S;1.00;Estacade;48.7322;-3.98278;17.000;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-10-10;00:00:00;42.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.200;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-10-24;00:00:00;37.00;PM;S;1.00;Estacade;48.7322;-3.98278;14.400;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-11-10;00:00:00;62.00;PM;S;1.00;Estacade;48.7322;-3.98278;12.900;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-11-24;00:00:00;42.00;PM;S;1.00;Estacade;48.7322;-3.98278;12.600;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-12-08;00:00:00;57.00;PM;S;1.00;Estacade;48.7322;-3.98278;12.000;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1997-12-23;00:00:00;38.00;PM;S;1.00;Estacade;48.7322;-3.98278;11.300;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-01-07;00:00:00;58.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.800;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-01-23;00:00:00;40.00;PM;S;1.00;Estacade;48.7322;-3.98278;9.200;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-02-06;00:00:00;51.00;PM;S;1.00;Estacade;48.7322;-3.98278;9.500;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-02-20;00:00:00;38.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.100;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-03-06;00:00:00;48.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.200;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-03-24;00:00:00;49.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.450;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-04-06;00:00:00;46.00;PM;S;1.00;Estacade;48.7322;-3.98278;10.950;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-06-04;00:00:00;45.00;PM;S;1.00;Estacade;48.7322;-3.98278;14.500;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-06-18;00:00:00;60.00;PM;S;1.00;Estacade;48.7322;-3.98278;14.850;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-07-03;00:00:00;40.00;PM;S;1.00;Estacade;48.7322;-3.98278;15.500;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-07-20;00:00:00;64.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.000;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-08-03;00:00:00;41.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.900;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
4;1998-08-17;00:00:00;53.00;PM;S;1.00;Estacade;48.7322;-3.98278;16.800;2;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4;999999;4
